MatchID,Season,Date,Stage,Link,HomeTeamID,AwayTeamID,Home Goals,Away Goals,url,date,stage,home_team,away_team,home_id,away_id,home_goals,away_goals,home_player_stats,away_player_stats,all_shots,home_shots,away_shots,referee,ar1,ar2,fourth_official,var
9bbf958182,2016-2017,"Friday April 21, 2017",Belgian First Division A (Championship play-off),https://fbref.com/en/matches/9c0d74f4/Gent-Oostende-April-21-2017-Belgian-First-Division-A,51e5a603,95b895fe,1,1,,,,,,,,,,,,,,,,,,,
951191ab62,2016-2017,"Friday April 7, 2017",Belgian First Division A (Championship play-off),https://fbref.com/en/matches/410fe753/Oostende-Zulte-Waregem-April-7-2017-Belgian-First-Division-A,95b895fe,ecd34b98,1,1,,,,,,,,,,,,,,,,,,,
84dabdbe1e,2016-2017,"Friday August 12, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/1640cd27/Sint-Truiden-Anderlecht-August-12-2016-Belgian-First-Division-A,80328a1e,08ad393c,0,0,,,,,,,,,,,,,,,,,,,
ad30ba292e,2016-2017,"Friday August 19, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/8ccc4437/Standard-Liege-Charleroi-August-19-2016-Belgian-First-Division-A,33c6b26e,140e320a,0,0,,,,,,,,,,,,,,,,,,,
a94d784046,2016-2017,"Friday August 26, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/8e3be277/Charleroi-Eupen-August-26-2016-Belgian-First-Division-A,140e320a,5809ddc3,3,2,,,,,,,,,,,,,,,,,,,
358743ffc0,2016-2017,"Friday August 5, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/7aaaf30d/Oostende-Club-Brugge-August-5-2016-Belgian-First-Division-A,95b895fe,f1e6c5f1,1,0,,,,,,,,,,,,,,,,,,,
27f592e25e,2016-2017,"Friday December 2, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/8d9f1d1a/Mechelen-Eupen-December-2-2016-Belgian-First-Division-A,09f00144,5809ddc3,1,0,,,,,,,,,,,,,,,,,,,
62fa2532a9,2016-2017,"Friday December 9, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/8f321b5f/Lokeren-Zulte-Waregem-December-9-2016-Belgian-First-Division-A,bada91db,ecd34b98,1,1,,,,,,,,,,,,,,,,,,,
00eca91215,2016-2017,"Friday February 10, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/d5e2234a/Sint-Truiden-Genk-February-10-2017-Belgian-First-Division-A,80328a1e,1e972a99,0,3,,,,,,,,,,,,,,,,,,,
23a2df41a8,2016-2017,"Friday February 17, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/e5c1a7c2/Westerlo-Club-Brugge-February-17-2017-Belgian-First-Division-A,57b6cfb8,f1e6c5f1,1,2,,,,,,,,,,,,,,,,,,,
0d23323276,2016-2017,"Friday February 24, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/af3785bf/Club-Brugge-Zulte-Waregem-February-24-2017-Belgian-First-Division-A,f1e6c5f1,ecd34b98,5,0,,,,,,,,,,,,,,,,,,,
7789b993fb,2016-2017,"Friday February 3, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/9889f19c/Lokeren-Anderlecht-February-3-2017-Belgian-First-Division-A,bada91db,08ad393c,0,0,,,,,,,,,,,,,,,,,,,
6442fed56a,2016-2017,"Friday January 20, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/9369c2ef/Gent-Charleroi-January-20-2017-Belgian-First-Division-A,51e5a603,140e320a,1,0,,,,,,,,,,,,,,,,,,,
d1289877c4,2016-2017,"Friday January 27, 2017",Belgian First Division A (Regular season),https://fbref.com/en/matches/e3ed56a9/Charleroi-Zulte-Waregem-January-27-2017-Belgian-First-Division-A,140e320a,ecd34b98,2,1,,,,,,,,,,,,,,,,,,,
17afc3d40c,2016-2017,"Friday July 29, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/4e9a31a2/Mechelen-Club-Brugge-July-29-2016-Belgian-First-Division-A,09f00144,f1e6c5f1,0,2,,,,,,,,,,,,,,,,,,,
834308bd16,2016-2017,"Friday March 31, 2017",Belgian First Division A (Championship play-off),https://fbref.com/en/matches/578ce619/Zulte-Waregem-Anderlecht-March-31-2017-Belgian-First-Division-A,ecd34b98,08ad393c,1,2,,,,,,,,,,,,,,,,,,,
ede16d6259,2016-2017,"Friday May 5, 2017",Belgian First Division A (Championship play-off),https://fbref.com/en/matches/93729b22/Charleroi-Club-Brugge-May-5-2017-Belgian-First-Division-A,140e320a,f1e6c5f1,1,3,,,,,,,,,,,,,,,,,,,
d94aefdcf7,2016-2017,"Friday November 18, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/005e15e0/Sint-Truiden-Club-Brugge-November-18-2016-Belgian-First-Division-A,80328a1e,f1e6c5f1,0,1,,,,,,,,,,,,,,,,,,,
ea2d4d9d0a,2016-2017,"Friday November 25, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/77e9e1d1/Club-Brugge-Mechelen-November-25-2016-Belgian-First-Division-A,f1e6c5f1,09f00144,6,1,,,,,,,,,,,,,,,,,,,
37305c48e3,2016-2017,"Friday November 4, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/8c88c904/Kortrijk-Charleroi-November-4-2016-Belgian-First-Division-A,77193015,140e320a,2,1,,,,,,,,,,,,,,,,,,,
1f5b2f78a0,2016-2017,"Friday October 14, 2016",Belgian First Division A (Regular season),https://fbref.com/en/matches/9600d9fc/Charleroi-Club-Brugge-October-14-2016-Belgian-First-Division-A,140e320a,f1e6c5f1,1,0,,,,,,,,,,,,,,,,,,,
