TeamID,Season,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
08ad393c,2017-2018,1.35,0.82,2.17,1.22,2.05,1.27,0.83,2.1,1.11,1.94
c2e6b53b,2017-2018,1.3,0.87,2.17,1.2,2.07,1.1,0.68,1.78,0.99,1.67
140e320a,2017-2018,1.25,1.02,2.27,1.17,2.2,1.19,0.83,2.02,1.07,1.9
f1e6c5f1,2017-2018,1.13,0.77,1.9,1.02,1.8,1.03,0.72,1.75,0.89,1.61
5809ddc3,2017-2018,1.8,1.27,3.07,1.53,2.8,1.51,1.09,2.61,1.28,2.37
f780fd06,2017-2018,1.87,1.33,3.2,1.67,3.0,1.59,0.99,2.58,1.35,2.34
1e972a99,2017-2018,1.13,0.75,1.87,0.97,1.72,1.08,0.72,1.8,0.96,1.69
51e5a603,2017-2018,0.87,0.57,1.45,0.82,1.4,0.96,0.65,1.61,0.9,1.55
77193015,2017-2018,1.2,0.8,2.0,1.03,1.83,1.58,1.08,2.66,1.37,2.45
bada91db,2017-2018,1.57,1.23,2.8,1.53,2.77,1.48,1.07,2.55,1.46,2.53
09f00144,2017-2018,1.63,1.3,2.93,1.6,2.9,1.16,0.88,2.04,1.08,1.96
95b895fe,2017-2018,1.37,0.9,2.27,1.3,2.2,1.24,0.85,2.1,1.19,2.04
80328a1e,2017-2018,1.33,0.9,2.23,1.2,2.1,1.34,0.92,2.26,1.21,2.13
33c6b26e,2017-2018,1.22,0.77,2.0,1.1,1.87,1.14,0.73,1.87,1.0,1.73
0217e4d8,2017-2018,1.67,1.23,2.9,1.6,2.83,1.43,1.06,2.49,1.33,2.38
ecd34b98,2017-2018,1.67,1.23,2.9,1.47,2.7,1.39,0.92,2.31,1.18,2.1
08ad393c,2018-2019,1.2,0.77,1.97,1.13,1.9,1.13,0.8,1.93,1.09,1.89
c2e6b53b,2018-2019,1.25,0.77,2.03,1.05,1.82,1.34,0.92,2.26,1.14,2.06
e8d2adc4,2018-2019,1.87,1.43,3.3,1.7,3.13,1.68,1.21,2.89,1.5,2.71
140e320a,2018-2019,1.37,0.77,2.13,1.27,2.03,1.2,0.83,2.03,1.09,1.92
f1e6c5f1,2018-2019,1.0,0.68,1.67,0.87,1.55,1.14,0.86,2.0,1.04,1.9
5809ddc3,2018-2019,1.87,1.27,3.13,1.7,2.97,1.45,1.08,2.52,1.32,2.39
f780fd06,2018-2019,1.03,0.63,1.67,0.9,1.53,1.41,1.0,2.4,1.25,2.24
1e972a99,2018-2019,0.95,0.65,1.6,0.87,1.52,1.08,0.77,1.85,1.0,1.77
51e5a603,2018-2019,1.47,1.02,2.5,1.37,2.4,1.45,1.14,2.59,1.38,2.52
77193015,2018-2019,1.4,0.77,2.17,1.17,1.93,1.39,0.88,2.27,1.14,2.02
bada91db,2018-2019,1.77,1.27,3.03,1.63,2.9,1.75,1.34,3.09,1.64,2.98
95b895fe,2018-2019,1.7,1.17,2.87,1.43,2.6,1.73,1.28,3.01,1.5,2.78
80328a1e,2018-2019,1.17,0.7,1.87,1.03,1.73,1.56,1.14,2.7,1.45,2.6
33c6b26e,2018-2019,1.2,0.82,2.03,1.15,1.97,1.36,1.04,2.4,1.3,2.34
0217e4d8,2018-2019,1.6,1.17,2.77,1.4,2.57,1.87,1.25,3.12,1.61,2.86
ecd34b98,2018-2019,1.93,1.43,3.37,1.77,3.2,1.56,1.12,2.69,1.38,2.5
08ad393c,2019-2020,1.0,0.52,1.52,0.93,1.45,1.31,0.95,2.27,1.24,2.2
c2e6b53b,2019-2020,1.07,0.72,1.79,1.0,1.72,1.16,0.87,2.03,1.05,1.93
e8d2adc4,2019-2020,1.79,1.38,3.17,1.69,3.07,1.39,1.11,2.5,1.28,2.4
140e320a,2019-2020,0.79,0.52,1.31,0.69,1.21,1.02,0.66,1.68,0.86,1.53
f1e6c5f1,2019-2020,0.45,0.24,0.69,0.38,0.62,0.84,0.64,1.47,0.78,1.42
5809ddc3,2019-2020,1.72,1.31,3.03,1.59,2.9,1.59,1.09,2.69,1.46,2.55
f780fd06,2019-2020,1.38,0.97,2.34,1.31,2.28,1.54,1.17,2.71,1.46,2.63
1e972a99,2019-2020,1.41,1.03,2.45,1.38,2.41,1.21,0.95,2.15,1.18,2.13
51e5a603,2019-2020,1.17,0.72,1.9,1.03,1.76,1.17,0.84,2.0,1.03,1.87
77193015,2019-2020,1.52,0.97,2.48,1.17,2.14,1.8,1.27,3.06,1.5,2.77
09f00144,2019-2020,1.48,1.21,2.69,1.45,2.66,1.41,1.03,2.44,1.3,2.33
95b895fe,2019-2020,1.97,1.38,3.34,1.86,3.24,1.67,1.23,2.91,1.57,2.8
80328a1e,2019-2020,1.69,0.9,2.59,1.45,2.34,1.95,1.43,3.38,1.76,3.19
33c6b26e,2019-2020,1.03,0.72,1.76,0.97,1.69,1.1,0.7,1.8,1.05,1.75
0217e4d8,2019-2020,2.0,1.41,3.41,1.79,3.21,1.74,1.29,3.03,1.58,2.87
ecd34b98,2019-2020,1.62,1.28,2.9,1.45,2.72,1.66,1.3,2.95,1.52,2.82
08ad393c,2022-2023,1.21,0.97,2.18,1.15,2.12,1.28,0.97,2.25,1.23,2.2
c2e6b53b,2022-2023,0.76,0.53,1.29,0.71,1.24,0.87,0.62,1.48,0.8,1.42
e8d2adc4,2022-2023,1.29,0.74,2.03,0.94,1.68,1.36,0.9,2.26,1.05,1.95
140e320a,2022-2023,1.32,1.09,2.41,1.24,2.32,1.28,0.98,2.26,1.21,2.19
f1e6c5f1,2022-2023,1.0,0.74,1.74,0.94,1.68,1.08,0.74,1.82,1.0,1.75
5809ddc3,2022-2023,2.12,1.5,3.62,1.91,3.41,1.81,1.21,3.02,1.57,2.78
1e972a99,2022-2023,1.09,0.65,1.74,0.94,1.59,1.16,0.79,1.95,0.99,1.79
51e5a603,2022-2023,1.12,0.71,1.82,0.91,1.62,1.01,0.65,1.66,0.85,1.5
77193015,2022-2023,1.71,1.18,2.88,1.5,2.68,1.85,1.23,3.08,1.64,2.88
09f00144,2022-2023,1.85,1.18,3.03,1.59,2.76,1.54,0.96,2.49,1.33,2.29
27e981a3,2022-2023,1.38,0.85,2.24,1.18,2.03,1.45,0.98,2.43,1.24,2.22
95b895fe,2022-2023,2.21,1.59,3.79,2.06,3.65,1.81,1.26,3.07,1.57,2.84
89e806ff,2022-2023,1.91,1.35,3.26,1.74,3.09,1.61,1.13,2.74,1.44,2.58
80328a1e,2022-2023,1.12,0.53,1.65,0.97,1.5,1.15,0.8,1.96,1.04,1.84
33c6b26e,2022-2023,1.26,0.85,2.12,1.09,1.94,1.29,0.91,2.2,1.16,2.06
e14f61a5,2022-2023,1.15,0.82,1.97,0.94,1.76,1.12,0.77,1.89,0.92,1.68
57b6cfb8,2022-2023,1.56,1.06,2.62,1.29,2.35,1.46,1.0,2.46,1.26,2.26
ecd34b98,2022-2023,2.24,1.5,3.74,2.0,3.5,1.78,1.2,2.98,1.58,2.78
08ad393c,2023-2024,1.0,0.57,1.57,0.9,1.47,1.22,0.87,2.09,1.14,2.01
c2e6b53b,2023-2024,0.87,0.5,1.37,0.7,1.2,1.06,0.72,1.78,0.93,1.65
e8d2adc4,2023-2024,1.07,0.8,1.87,1.07,1.87,1.31,0.96,2.26,1.28,2.24
140e320a,2023-2024,1.57,1.1,2.67,1.4,2.5,1.53,1.05,2.58,1.4,2.45
f1e6c5f1,2023-2024,0.97,0.8,1.77,0.97,1.77,0.87,0.65,1.52,0.8,1.44
5809ddc3,2023-2024,1.8,1.2,3.0,1.67,2.87,1.92,1.39,3.31,1.76,3.15
1e972a99,2023-2024,1.03,0.73,1.77,0.97,1.7,1.11,0.81,1.92,1.03,1.84
51e5a603,2023-2024,1.27,0.8,2.07,1.0,1.8,1.43,0.92,2.34,1.14,2.06
77193015,2023-2024,1.77,1.17,2.93,1.73,2.9,1.83,1.36,3.19,1.78,3.14
09f00144,2023-2024,1.1,0.77,1.87,1.07,1.83,1.41,0.97,2.38,1.31,2.28
27e981a3,2023-2024,1.5,1.0,2.5,1.27,2.27,1.49,1.05,2.54,1.28,2.33
e423ea45,2023-2024,2.17,1.37,3.53,1.77,3.13,2.18,1.41,3.59,1.78,3.19
80328a1e,2023-2024,1.53,1.13,2.67,1.37,2.5,1.47,1.05,2.52,1.34,2.39
33c6b26e,2023-2024,1.37,0.77,2.13,1.17,1.93,1.45,0.97,2.42,1.29,2.26
e14f61a5,2023-2024,1.03,0.77,1.8,0.93,1.7,0.9,0.67,1.57,0.82,1.49
57b6cfb8,2023-2024,1.73,1.37,3.1,1.63,3.0,1.63,1.27,2.9,1.55,2.82
