TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
08ad393c,2016-2017,vs Anderlecht,34,26.2,47.1,40,440.0,3600.0,40.0,35.0,22.0,57.0,28.0,7.0,10.0,63.0,12.0,,,,,,
140e320a,2016-2017,vs Charleroi,25,25.7,54.7,40,440.0,3600.0,40.0,41.0,31.0,72.0,36.0,5.0,7.0,64.0,3.0,,,,,,
f1e6c5f1,2016-2017,vs Club Brugge,27,25.7,43.7,40,440.0,3600.0,40.0,38.0,27.0,65.0,34.0,4.0,6.0,82.0,4.0,,,,,,
5809ddc3,2016-2017,vs Eupen,29,26.0,56.6,40,330.0,2700.0,30.0,61.0,42.0,103.0,55.0,6.0,8.0,60.0,2.0,,,,,,
f780fd06,2016-2017,vs Excel Mouscron,38,25.8,55.9,40,330.0,2700.0,30.0,50.0,34.0,84.0,44.0,6.0,7.0,49.0,2.0,,,,,,
1e972a99,2016-2017,vs Genk,33,25.8,43.5,40,330.0,2700.0,30.0,35.0,25.0,60.0,35.0,0.0,2.0,56.0,5.0,,,,,,
51e5a603,2016-2017,vs Gent,35,26.1,37.3,40,440.0,3600.0,40.0,40.0,23.0,63.0,37.0,3.0,3.0,82.0,3.0,,,,,,
77193015,2016-2017,vs Kortrijk,30,26.1,53.2,40,330.0,2700.0,30.0,52.0,37.0,89.0,49.0,3.0,4.0,58.0,4.0,,,,,,
bada91db,2016-2017,vs Lokeren,30,25.6,52.4,40,330.0,2700.0,30.0,33.0,23.0,56.0,30.0,3.0,3.0,42.0,4.0,,,,,,
09f00144,2016-2017,vs Mechelen,27,25.8,56.3,40,330.0,2700.0,30.0,34.0,20.0,54.0,31.0,3.0,4.0,69.0,3.0,,,,,,
95b895fe,2016-2017,vs Oostende,26,25.9,49.3,40,440.0,3600.0,40.0,53.0,38.0,91.0,49.0,4.0,4.0,77.0,4.0,,,,,,
80328a1e,2016-2017,vs Sint-Truiden,30,25.8,54.1,40,330.0,2700.0,30.0,47.0,32.0,79.0,41.0,6.0,8.0,52.0,3.0,,,,,,
33c6b26e,2016-2017,vs Standard Liège,44,26.0,45.3,40,330.0,2700.0,30.0,37.0,28.0,65.0,36.0,1.0,1.0,61.0,6.0,,,,,,
0217e4d8,2016-2017,vs Waas-Beveren,28,25.8,55.8,40,330.0,2700.0,30.0,41.0,28.0,69.0,38.0,3.0,3.0,51.0,5.0,,,,,,
57b6cfb8,2016-2017,vs Westerlo,25,25.8,56.8,30,330.0,2700.0,30.0,64.0,49.0,113.0,58.0,6.0,6.0,39.0,3.0,,,,,,
ecd34b98,2016-2017,vs Zulte Waregem,27,25.7,45.6,40,440.0,3600.0,40.0,59.0,45.0,104.0,54.0,5.0,7.0,79.0,5.0,,,,,,
08ad393c,2017-2018,vs Anderlecht,34,25.8,42.9,40,440.0,3600.0,40.0,54.0,33.0,87.0,49.0,5.0,8.0,80.0,3.0,50.9,44.5,33.1,77.6,642.0,1413.0
c2e6b53b,2017-2018,vs Antwerp,36,25.8,55.8,40,330.0,2700.0,30.0,39.0,26.0,65.0,36.0,3.0,4.0,55.0,3.0,33.0,29.8,20.4,50.2,477.0,1229.0
140e320a,2017-2018,vs Charleroi,26,25.7,53.6,40,440.0,3600.0,40.0,50.0,41.0,91.0,47.0,3.0,6.0,90.0,10.0,47.5,42.7,33.2,75.9,608.0,1821.0
f1e6c5f1,2017-2018,vs Club Brugge,32,25.8,44.0,40,440.0,3600.0,40.0,45.0,31.0,76.0,41.0,4.0,7.0,88.0,4.0,41.1,35.5,28.9,64.4,580.0,1387.0
