PlayerID,Season,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
f7214ddb38,2017-2018,0.00,0.00,0.00,0.00,0.00,0.44,0.07,0.51,0.44,0.51
0ab5293a75,2017-2018,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.25,0.22,0.25
a53d33b628,2017-2018,0.08,0.31,0.39,0.08,0.39,0.13,0.18,0.31,0.13,0.31
a3e3504f67,2017-2018,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
17840924c8,2017-2018,0.10,0.00,0.10,0.10,0.10,0.12,0.00,0.12,0.12,0.12
c508b05c9d,2017-2018,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06
b254ef47fa,2017-2018,0.30,0.15,0.44,0.30,0.44,0.43,0.12,0.55,0.43,0.55
a27d698e4a,2017-2018,0.08,0.08,0.15,0.08,0.15,0.33,0.01,0.34,0.17,0.17
6946bff65f,2017-2018,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
cfa5fe9de1,2017-2018,0.00,0.00,0.00,0.00,0.00,0.18,0.33,0.51,0.18,0.51
3223c2dab3,2017-2018,0.21,0.21,0.42,0.21,0.42,0.18,0.11,0.29,0.18,0.29
e9419bb1f4,2017-2018,0.23,0.10,0.33,0.23,0.33,0.24,0.10,0.34,0.24,0.34
be4b463a3f,2017-2018,0.20,0.00,0.20,0.20,0.20,0.14,0.10,0.23,0.14,0.23
d79b0dc742,2017-2018,0.15,0.08,0.23,0.15,0.23,0.16,0.10,0.26,0.16,0.26
71078527ae,2017-2018,0.04,0.00,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08
64ec9573c8,2017-2018,0.00,0.13,0.13,0.00,0.13,0.01,0.16,0.17,0.01,0.17
b1aea3b971,2017-2018,0.00,0.27,0.27,0.00,0.27,0.01,0.16,0.17,0.01,0.17
cd62a98df0,2017-2018,0.21,0.14,0.34,0.21,0.34,0.22,0.06,0.29,0.22,0.29
