TeamID,Season,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
08ad393c,2017-2018,1.45,1.1,2.55,1.37,2.48,1.68,1.16,2.84,1.56,2.73
c2e6b53b,2017-2018,1.23,0.93,2.17,1.07,2.0,1.06,0.6,1.66,0.91,1.5
140e320a,2017-2018,1.27,0.9,2.17,1.1,2.0,1.06,0.72,1.77,0.92,1.63
f1e6c5f1,2017-2018,2.1,1.4,3.5,1.77,3.17,1.82,1.2,3.02,1.54,2.74
5809ddc3,2017-2018,1.27,1.2,2.47,1.23,2.43,1.06,0.78,1.85,1.01,1.79
f780fd06,2017-2018,1.3,1.27,2.57,1.23,2.5,1.04,0.72,1.76,0.96,1.68
1e972a99,2017-2018,1.4,1.05,2.45,1.32,2.37,1.3,0.92,2.22,1.16,2.08
51e5a603,2017-2018,1.3,0.95,2.25,1.17,2.12,1.32,0.92,2.24,1.16,2.08
77193015,2017-2018,1.33,1.4,2.73,1.3,2.7,1.14,0.83,1.97,1.08,1.92
bada91db,2017-2018,1.1,1.07,2.17,1.0,2.07,0.92,0.66,1.58,0.84,1.5
09f00144,2017-2018,0.93,0.87,1.8,0.93,1.8,1.18,0.85,2.03,1.13,1.98
95b895fe,2017-2018,1.33,1.03,2.37,1.23,2.27,1.14,0.83,1.97,1.04,1.86
80328a1e,2017-2018,0.93,1.03,1.97,0.9,1.93,1.16,0.76,1.92,1.04,1.8
33c6b26e,2017-2018,1.52,1.13,2.65,1.42,2.55,1.33,0.9,2.23,1.19,2.09
0217e4d8,2017-2018,1.63,1.43,3.07,1.43,2.87,1.39,0.9,2.29,1.2,2.1
ecd34b98,2017-2018,1.53,1.87,3.4,1.33,3.2,1.28,0.84,2.12,1.07,1.91
08ad393c,2018-2019,1.42,1.1,2.52,1.3,2.4,1.54,1.26,2.8,1.44,2.7
c2e6b53b,2018-2019,1.22,0.85,2.07,1.07,1.92,1.49,1.07,2.56,1.33,2.4
e8d2adc4,2018-2019,1.07,0.63,1.7,0.93,1.57,1.14,0.7,1.85,1.01,1.72
140e320a,2018-2019,1.37,0.9,2.27,1.23,2.13,1.38,0.96,2.34,1.25,2.22
