TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
08ad393c,2016-2017,Anderlecht,34,24.8,52.9,40,440.0,3600.0,40.0,79.0,58.0,137.0,74.0,5.0,7.0,72.0,2.0,,,,,,
140e320a,2016-2017,Charleroi,25,27.7,45.3,40,440.0,3600.0,40.0,43.0,24.0,67.0,41.0,2.0,2.0,65.0,2.0,,,,,,
f1e6c5f1,2016-2017,Club Brugge,27,26.6,56.4,40,440.0,3600.0,40.0,70.0,47.0,117.0,63.0,7.0,8.0,66.0,2.0,,,,,,
5809ddc3,2016-2017,Eupen,29,24.1,43.4,40,440.0,2700.0,30.0,37.0,38.0,75.0,34.0,3.0,5.0,63.0,3.0,,,,,,
f780fd06,2016-2017,Excel Mouscron,38,24.0,44.1,40,440.0,2700.0,30.0,28.0,31.0,59.0,26.0,2.0,2.0,62.0,1.0,,,,,,
1e972a99,2016-2017,Genk,33,23.1,56.5,40,440.0,2700.0,30.0,38.0,45.0,83.0,35.0,3.0,4.0,45.0,3.0,,,,,,
51e5a603,2016-2017,Gent,35,25.4,62.8,40,440.0,3600.0,40.0,60.0,37.0,97.0,52.0,8.0,9.0,66.0,3.0,,,,,,
77193015,2016-2017,Kortrijk,30,26.0,46.8,40,440.0,2700.0,30.0,38.0,41.0,79.0,36.0,2.0,3.0,75.0,3.0,,,,,,
bada91db,2016-2017,Lokeren,30,27.8,47.6,40,440.0,2700.0,30.0,23.0,35.0,58.0,19.0,4.0,6.0,56.0,2.0,,,,,,
09f00144,2016-2017,Mechelen,27,25.3,43.7,40,440.0,2700.0,30.0,41.0,28.0,69.0,37.0,4.0,6.0,72.0,5.0,,,,,,
95b895fe,2016-2017,Oostende,26,26.9,50.7,40,440.0,3600.0,40.0,62.0,30.0,92.0,52.0,10.0,12.0,76.0,2.0,,,,,,
80328a1e,2016-2017,Sint-Truiden,30,25.0,45.9,40,440.0,2700.0,30.0,35.0,39.0,74.0,34.0,1.0,1.0,73.0,2.0,,,,,,
33c6b26e,2016-2017,Standard Liège,44,25.3,54.7,40,440.0,2700.0,30.0,46.0,41.0,87.0,41.0,5.0,6.0,59.0,1.0,,,,,,
0217e4d8,2016-2017,Waas-Beveren,28,24.4,44.2,40,440.0,2700.0,30.0,28.0,31.0,59.0,25.0,3.0,3.0,62.0,2.0,,,,,,
57b6cfb8,2016-2017,Westerlo,25,26.3,43.2,30,330.0,2700.0,30.0,33.0,27.0,60.0,33.0,0.0,0.0,51.0,1.0,,,,,,
ecd34b98,2016-2017,Zulte Waregem,27,27.8,54.4,40,440.0,3600.0,40.0,59.0,41.0,100.0,53.0,6.0,9.0,56.0,0.0,,,,,,
08ad393c,2017-2018,Anderlecht,34,25.7,57.1,40,440.0,3600.0,40.0,58.0,44.0,102.0,55.0,3.0,6.0,94.0,,67.2,62.5,46.5,109.0,750.0,2102.0
c2e6b53b,2017-2018,Antwerp,36,26.2,44.2,40,440.0,2700.0,30.0,37.0,28.0,65.0,32.0,5.0,6.0,86.0,,31.9,27.2,18.0,45.1,328.0,937.0
140e320a,2017-2018,Charleroi,26,27.2,46.4,40,440.0,3600.0,40.0,51.0,36.0,87.0,44.0,7.0,7.0,79.0,,42.3,36.8,28.6,65.4,610.0,1455.0
f1e6c5f1,2017-2018,Club Brugge,32,25.1,56.0,40,440.0,3600.0,40.0,84.0,56.0,140.0,71.0,13.0,14.0,81.0,,72.7,61.7,48.0,109.7,740.0,1940.0
