Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Knowledge Musona,120785,€350k,"May 27, 2025","Jun 21, 1990",35,1.77,Zimbabwe,Zimbabwe,Attacking Midfield,"Second Striker, Left Winger",Without Club,Al-Okhdood,"Jul 1, 2025",,,2016-2017
Björn Engels,193469,€100k,"Jun 12, 2025","Sep 15, 1994",30,1.95,Belgium,,Centre-Back,,Royal Antwerp,,,"Jul 1, 2021","Jun 30, 2026",2016-2017
Frank Acheampong,157160,€650k,"Jun 19, 2025","Oct 16, 1993",31,1.7,Ghana,Ghana,Left Winger,"Left Midfield, Centre-Forward",HN FC,,,"Feb 9, 2024","Dec 31, 2025",2016-2017
Stéphane Badji,208505,,,"Jan 18, 1990",35,1.8,Senegal,,Defensive Midfield,,Ajamaat FC,,,"Feb 5, 2025",-,2016-2017
Andriy Totovytskyi,277777,€250k,"Jun 10, 2025","Jan 20, 1993",32,1.87,Ukraine,,Attacking Midfield,,Without Club,Shakhtar D.,"Jul 1, 2025",,,2016-2017
Dion Cools,316422,€1.00m,"May 2, 2025","Jun 4, 1996",29,1.85,Malaysia,"Malaysia, Belgium",Right-Back,"Centre-Back, Right Midfield",Cerezo Osaka,,,"Jun 3, 2025","Jun 30, 2026",2016-2017
Ruud Vormer,45864,,,"May 11, 1988",37,1.78,Netherlands,Netherlands,Central Midfield,"Defensive Midfield, Right Midfield",Retired,Zulte Waregem,"Jul 1, 2024",,,2016-2017
Danté Walen De Keyser,316416,,,"Feb 11, 1998",27,1.88,Belgium,Belgium,Centre-Forward,,KFC Kontich,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Elderson,59938,,,"Jan 20, 1988",37,1.85,Nigeria,,Left-Back,,Retired,HJK Helsinki,"Jun 28, 2019",,,2016-2017
Alexander Corryn,129580,€250k,"Apr 24, 2025","Jan 3, 1994",31,1.77,Belgium,,Left-Back,,Without Club,SK Beveren,"Jul 1, 2025",,,2016-2017
Tom De Sutter,42393,,,"Jul 3, 1985",40,1.92,Belgium,,Centre-Forward,,Retired,RFC Knokke,"Jul 1, 2020",,,2016-2017
Casper De Norre,292806,€2.50m,"May 27, 2025","Feb 7, 1997",28,1.75,Belgium,Belgium,Central Midfield,"Right-Back, Left-Back",Millwall,,,"Jul 21, 2023","Jun 30, 2026",2016-2017
Anthony Limbombe,140803,€450k,"Apr 24, 2025","Jul 15, 1994",31,1.77,Belgium,"DR Congo, Belgium",Left Winger,"Left Midfield, Right Winger",Kiryat Shmona,,,"Jul 1, 2025","Jun 30, 2026",2016-2017
Laurent Depoitre,90583,,,"Dec 7, 1988",36,1.91,Belgium,,Centre-Forward,,Retired,KAA Gent,"Jan 16, 2025",,,2016-2017
